"Name","Total Time","Total Time (CPU)","Hits"
"default task-168","20,992 ms (-0%)","20,992 ms (-0%)","1"
" Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"  nts.hc.shr.infra.application.log.HttpLevelWebServiceLogger.doFilter ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"   Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"    nts.hc.shr.infra.web.session.validator.WebServiceSessionValidator.doFilter ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"     Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"      nts.hc.shr.infra.web.session.subsession.SubSessionFilter.doFilter ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"       Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"        nts.hc.shr.infra.web.security.csrf.CsrfProtectionFilter.doFilter ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"         Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"          nts.hc.shr.infra.web.security.api.ApiRequestValidator.doFilter ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"           Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"            nts.hc.ctx.em.ws.employee.EmployeeWebService$Proxy$_$$_WeldClientProxy.searchEmployee ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"             nts.hc.ctx.em.ws.employee.EmployeeWebService.searchEmployee ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"              nts.hc.shr.infra.application.QueryGateImpl$Proxy$_$$_WeldClientProxy.query ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"               nts.hc.shr.infra.application.QueryGateImpl.query ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                nts.hc.ctx.em.app.employee.QueryProcessor$1957331007$Proxy$_$$_Weld$EnterpriseProxy$.handle ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                 Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                  nts.hc.ctx.em.app.employee.EmployeeFindQueryProcessor.handle ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                   nts.hc.ctx.em.app.employee.search.EmployeeSearchFilter.getEmployeeList ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                    nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository$Proxy$_$$_WeldClientProxy.get ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                     nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository.get ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                      Filtered out","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                       nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository$$Lambda$365.994857610.accept ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                        nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository.lambda$get$6 ()","20,992 ms (-0%)","20,992 ms (-0%)","1"
"                         nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository.getEmployee ()","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                          Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                           nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository$$Lambda$367.1719524654.accept ()","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                            nts.hc.ctx.em.infra.repository.employee.HealthlifeRepository.lambda$getEmployee$9 ()","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                             nts.hc.shr.infra.data.repository.query.TypedQueryWrapper.getList ()","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                              Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","1"
"                               Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","12"
"                                Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","12"
"                                 Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","12"
"                                  Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","14"
"                                   Filtered out","15,106 ms (-0%)","15,106 ms (-0%)","14"
"                                    Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","11"
"                                     Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","11"
"                                      Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","11"
"                                       Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","11"
"                                        Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","11"
"                                         Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","20"
"                                          Filtered out","14,824 ms (-0%)","14,824 ms (-0%)","20"
"                                           Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                            Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                             Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                              Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                               Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                                Filtered out","8,602 ms (-0%)","8,602 ms (-0%)","16"
"                                                 Filtered out","8,492 ms (-0%)","8,492 ms (-0%)","15"
"                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                               Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                              Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                             Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                            Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                           Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                          Self time","0.0 ms (0%)","0.0 ms (0%)","11"
"                                         Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                        Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                       Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                      Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                     Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                    Self time","0.0 ms (0%)","0.0 ms (0%)","11"
"                                   Self time","0.0 ms (0%)","0.0 ms (0%)","11"
"                                  Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                 Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                                Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                               Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         nts.hc.shr.infra.data.repository.query.TypedQueryWrapper.getList ()","5,886 ms (-0%)","5,886 ms (-0%)","1"
"                          Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","1"
"                           Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                            Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                             Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                              Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                               Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                 Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                  Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                   Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                    Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                     Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                      Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                       Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                        Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                         Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                          Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                           Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                            Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                             Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                              Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                               Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                 Filtered out","5,886 ms (-0%)","5,886 ms (-0%)","2"
"                                                  Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","1"
"                                                   Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","24"
"                                                    Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","28"
"                                                     Filtered out","5,781 ms (-0%)","5,781 ms (-0%)","31"
"                                                      Filtered out","5,691 ms (-0%)","5,691 ms (-0%)","30"
"                                                       Filtered out","5,388 ms (-0%)","5,388 ms (-0%)","28"
"                                                        Filtered out","3,898 ms (-0%)","3,898 ms (-0%)","16"
"                                                         Filtered out","3,898 ms (-0%)","3,898 ms (-0%)","16"
"                                                          Filtered out","3,824 ms (-0%)","3,824 ms (-0%)","15"
"                                                           Filtered out","3,707 ms (-0%)","3,707 ms (-0%)","14"
"                                                            Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                             Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                              Filtered out","3,310 ms (-0%)","3,310 ms (-0%)","12"
"                                                               Filtered out","185 ms (-0%)","185 ms (-0%)","2"
"                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","10"
"                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","10"
"                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","11"
"                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","24"
"                                                      Self time","89.3 ms (-0%)","89.3 ms (-0%)","29"
"                                                       Filtered out","89.3 ms (-0%)","89.3 ms (-0%)","1"
"                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","25"
"                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","19"
"                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","18"
"                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
